904616,MISC. AMERICAN CORDIALS & LIQUEURS,Travis Hasse Apple Pie,305,Mhw Ltd,750,12,1,,40,2/11/2009 0:00,,,$9.77 ,14.66,117.22
904617,MISC. IMPORTED CORDIALS & LIQUEURS,D'aristi Xtabentun,391,Anchor Distilling (preiss Imports),750,12,1,,60,4/24/2009 0:00,,,$14.12 ,21.18,169.4
904618,PEACH BRANDIES,Hiram Walker Peach Brandy,370,Pernod Ricard Usa/austin Nichols,1000,12,1,,60,12/16/2009 0:00,,89540500867,$6.50 ,9.74,77.94
904619,SCOTCH WHISKIES,Oak Cross Whisky,305,Mhw Ltd,750,6,1,,86,12/24/2009 0:00,,,$25.33 ,38,152
904620,FLAVORED VODKA,Uv Red(cherry) Vodka,380,Phillips Beverage Company,200,24,1,,60,11/5/2009 0:00,,1.00871E+13,$1.97 ,2.96,47.3
904621,STRAIGHT BOURBON WHISKIES,Heaven Hill Old Style White Label,259,Heaven Hill Distilleries Inc.,750,12,1,,80,12/4/2009 0:00,,,$6.37 ,9.55,76.4
904622,MISC. AMERICAN CORDIALS & LIQUEURS,Hyde Herbal Liqueur,194,Fire Tail Brands Llc,750,12,1,,80,2/5/2010 0:00,,904622,$5.06 ,7.59,60.7
904623,MISCELLANEOUS BRANDIES,Dupont Calvados Fine Reserve,403,Robert Kacher Selections,750,12,1,,80,12/24/2009 0:00,,,$23.61 ,35.42,283.33
904624,IMPORTED VODKA,Sobieski Cytron Vodka,267,Imperial Brands Inc.,750,12,1,,80,12/29/2009 0:00,,1.0089E+13,$5.69 ,8.54,68.32
904625,FLAVORED RUM,Captain Morgan Parrot Bay Strawberry,260,Diageo Americas,750,12,1,,42,1/12/2010 0:00,,82000756835,$7.49 ,11.24,89.84
904626,SINGLE MALT SCOTCH,Arran 10yr,10,A Hardy / U.s.a. Ltd.,750,6,1,,92,10/1/2009 0:00,,,$25.83 ,38.75,155
904627,FLAVORED RUM,Malibu Tropical Banana,370,Pernod Ricard Usa/austin Nichols,1000,12,1,,42,6/10/2009 0:00,89540493367,,$9.16 ,13.74,109.95
904628,SCOTCH WHISKIES,Ballantines Finest,370,Pernod Ricard Usa/austin Nichols,1750,6,1,,80,1/12/2010 0:00,,,$21.93 ,32.9,131.59
904629,DISTILLED SPIRITS SPECIALTY,Catdaddy Carolina Moonshine,384,Piedmont Distillers,750,6,1,,80,1/20/2010 0:00,,1.08518E+13,$12.08 ,18.13,72.5
904630,STRAIGHT BOURBON WHISKIES,Early Times Mint Julep,85,Brown-forman Corporation,1000,12,1,,60,1/25/2010 0:00,81128010904,904630,$7.94 ,11.91,95.25
904631,IMPORTED DRY GINS,Tanqueray Gin Mini,260,Diageo Americas,502,12,1,,94,1/12/2010 0:00,,88076175099,$14.54 ,21.81,174.51
904632,MISC. AMERICAN CORDIALS & LIQUEURS,Hiram Walker Creme De Strawberry,370,Pernod Ricard Usa/austin Nichols,1000,12,1,,30,1/26/2010 0:00,,,$4.50 ,6.75,53.94
904633,FLAVORED VODKA,Seagram's Wild Grape Vodka,255,Wilson Daniels Ltd.,200,24,1,,70,2/24/2009 0:00,7.20816E+11,2.07208E+13,$1.01 ,1.52,24.21
